Customer ID,Loan Sanction Amount (USD)
C-26247,102536.8
C-35067,78105.336
C-34590,-6786.1978
C-16668,71209.48
C-12196,75779.25
C-2600,259.0792
C-9047,102864.57
C-2206,90143.52
C-25607,-365.42847
C-11606,15909.938
C-3624,83776.48
C-43027,-73.717575
C-15190,121475.1
C-25816,17800.898
C-26370,48780.473
C-1281,209036.8
C-29433,5388.2397
C-36256,62658.684
C-34217,46615.402
C-39950,69132.02
C-6756,23042.656
C-26652,58080.414
C-3991,73803.586
C-40312,41358.496
C-24580,176095.47
C-4949,49876.535
C-18783,90572.07
C-39205,77046.24
C-23784,-198.47643
C-39508,116921.34
C-19062,124674.76
C-48140,344.3104
C-11314,72181.836
C-766,75879.336
C-39319,8222.141
C-15299,62651.387
C-10298,37298.234
C-25573,62650.484
C-18750,26684.129
C-19298,39184.344
C-11497,67044.805
C-42250,-398.8029
C-17501,46180.367
C-24290,58355.777
C-8590,124319.4
C-8038,69443.67
C-25261,-1155.8129
C-32634,13166.213
C-15073,54675.65
C-44174,248.38669
C-31916,82485.07
C-30620,22931.51
C-12561,34156.02
C-40301,113740.94
C-14716,21447.695
C-27558,49498.965
C-32563,46741.27
C-31387,26848.729
C-45649,1379.4688
C-22572,30735.799
C-48427,1018.6954
C-24904,74922.96
C-27683,17910.848
C-43495,1010.06683
C-25735,29806.422
C-21375,86325.6
C-41309,73839.336
C-7767,29605.586
C-11841,-141.98761
C-5763,99738.93
C-8389,44724.312
C-16692,44554.945
C-33430,127662.67
C-2953,210327.44
C-11912,28515.873
C-6072,73628.55
C-6321,40755.926
C-26772,68493.74
C-24747,56477.062
C-20883,180244.34
C-11751,52257.637
C-24776,95331.79
C-20642,24988.938
C-9613,-415.8318
C-45334,256.9383
C-37941,76406.88
C-2908,46325.38
C-13784,16564.406
C-26710,67515.4
C-1892,70451.09
C-49928,880.00244
C-23082,91532.29
C-27939,51575.46
C-41801,-909.93835
C-19700,10295.673
C-43113,539.15875
